IDENTIFIER	chrom	start	stop	symbol	is_refseq	refseq_id
10344614	1	3044314	3044814	10344614	false	NA
10344616	1	3092097	3092206	10344616	false	NA
10344620	1	3670652	3670993	Gm10568	false	NA
10344622	1	4761212	4762280	Gm10568	false	NA
10344624	1	4797943	4836817	Lypla1	true	NM_008866
10344633	1	4847895	4887990	Tcea1	true	NM_011541
10344637	1	5073253	5152630	Atp6v1h	true	NM_133826
10344653	1	5578574	5592947	Oprk1	true	NM_011011
10344658	1	6204743	6265656	Rb1cc1	true	NM_009826
10344674	1	6349422	6381175	Fam150a	true	NM_001195732
10344679	1	6720132	6851021	St18	true	NM_173868
10344707	1	7079231	7163709	Pcmtd1	true	NM_183028
10344713	2	NA	NA	10344713	false	NM_016661
10344715	1	7488080	7488381	10344715	false	NA
10344717	1	8806219	8806328	10344717	false	NA
10344719	1	8846844	8847185	10344719	false	NA
10344721	1	9448751	9448853	10344721	false	NA
10344723	1	9535507	9537533	Rrs1	true	NM_021511
10344725	1	9538161	9568049	Adhfe1	true	NM_175236
10344741	2	NA	NA	10344741	false	NM_053263
10344743	1	9591348	9617224	3110035E14Rik	true	NM_178399
10344750	1	9788211	9892651	Sgk3	true	NM_133220
10344772	1	9898719	9930615	6030422M02Rik	true	NM_177722
10344789	1	10028343	10058416	Cspp1	true	NM_026493
10344797	1	10029900	10029955	Cspp1	false	NA
10344799	1	10064941	10065027	Cspp1	true	NM_026493
10344801	1	10067253	10067323	Cspp1	true	NM_026493
10344803	1	10072334	10072427	Cspp1	true	NM_026493
10344805	1	10073582	10073639	Cspp1	true	NM_026493
10344807	1	10075828	10076033	Cspp1	true	NM_026493
10344809	1	10078132	10078265	Cspp1	true	NM_026493
10344811	1	10078963	10079041	Cspp1	true	NM_026493
10344813	1	10080269	10080398	Cspp1	true	NM_026493
10344815	1	10085947	10086094	Cspp1	true	NM_026493
10344817	1	10094293	10094445	Cspp1	true	NM_026493
10344819	1	10098450	10098562	Cspp1	true	NM_026493
10344821	1	10102474	10126847	Cspp1	true	NM_026493
10344835	1	10858769	10859530	10344835	false	NA
10344837	1	10983874	11288956	Prex2	true	NM_029525
10344879	1	11404193	11965982	A830018L16Rik	true	NM_001160369
10344895	1	12111053	12111916	10344895	false	NA
10344897	1	12682523	12850458	Sulf1	true	NM_001198565
10344922	1	13052074	13052429	10344922	false	NA
10344924	1	13658852	13691804	Xkr9	true	NM_001011873
10344929	1	14745535	14748454	Msc	true	NM_010827
10344931	5	NA	NA	10344931	false	NM_016980
10344935	1	15302543	15704378	Kcnb2	true	NM_001098528
10344939	1	15795739	15833512	Terf1	true	NM_009352
10344950	1	16043416	16043969	Gm7634	false	NA
10344952	1	16095855	16122631	Rdh10	true	NM_133832
10344960	1	16655272	16668356	Tmem70	true	NM_027415
10344966	1	16678514	16699692	Ly96	true	NM_016923
10344973	1	17135478	17154352	Gdap1	true	NM_010267
10344981	1	17591985	17617901	Pi15	true	NM_053191
10344990	1	17717169	17754829	Crispld1	true	NM_031402
10345007	1	19093101	19156432	Tcfap2d	true	NM_153154
10345016	1	19198995	19228815	Tcfap2b	true	NM_009334
